DAY,MONTH,YEAR,CUSTOMER_SSN,SUPPLIER_SSN,BRANCH_NAME,PRODUCT_NAME,QUANTITY_SOLD
8,February,2005,198780235,304035039,SAPP_Texas,Leather jacket,2
8,February,2005,198782582,301004007,SAPP_Texas,Formal Ladies Shirt,4
8,February,2005,965823910,300001003,SAPP_Texas,Hand Glove,3
5,April,2005,198837146,318303317,SAPP_Texas,Party wear trousers,2
5,April,2005,965845020,302008009,SAPP_Texas,Sun glasses,2
5,April,2005,198780235,310221222,SAPP_Texas,Formal Mens Shirts,3
5,April,2005,198782582,304035039,SAPP_Texas,Leather jacket,1
31,May,2005,965823910,304035039,SAPP_Texas,Leather jacket,3
31,May,2005,198837146,301004007,SAPP_Texas,Formal Ladies Shirt,5
26,July,2005,965845020,300001003,SAPP_Texas,Hand Glove,2
26,July,2005,202482232,318303317,SAPP_Texas,Party wear trousers,5
20,September,2005,202851665,302008009,SAPP_Texas,Sun glasses,2
20,September,2005,198780235,310221222,SAPP_Texas,Formal Mens Shirts,3
20,September,2005,198782582,305040049,SAPP_Texas,Mens wear,1
15,November,2005,198780235,303010034,SAPP_Texas,Avon musk,4
15,November,2005,198782582,314247251,SAPP_Texas,Caps,1
10,January,2006,965823910,307135158,SAPP_Texas,Formal Mens trousers,2
10,January,2006,198837146,304035039,SAPP_Texas,Leather jacket,5
7,March,2006,965845020,301004007,SAPP_Texas,Formal Ladies Shirt,1
7,March,2006,202482232,300001003,SAPP_Texas,Hand Glove,6
7,March,2006,202851665,318303317,SAPP_Texas,Party wear trousers,2
2,May,2006,894395367,302008009,SAPP_Texas,Sun glasses,4
2,May,2006,931324108,310221222,SAPP_Texas,Formal Mens Shirts,2
2,May,2006,198780235,305040049,SAPP_Texas,Mens wear,4
27,June,2006,198782582,303010034,SAPP_Texas,Avon musk,2
27,June,2006,965823910,314247251,SAPP_Texas,Caps,4
27,June,2006,198837146,307135158,SAPP_Texas,Formal Mens trousers,1
27,June,2006,965845020,304035039,SAPP_Texas,Leather jacket,5
22,August,2006,202482232,301004007,SAPP_Texas,Formal Ladies Shirt,2
22,August,2006,202851665,300001003,SAPP_Texas,Hand Glove,1
17,October,2006,198780235,318303317,SAPP_Texas,Party wear trousers,1
17,October,2006,198782582,302008009,SAPP_Texas,Sun glasses,5
17,October,2006,965823910,310221222,SAPP_Texas,Formal Mens Shirts,2
12,December,2006,198837146,305040049,SAPP_Texas,Mens wear,1
12,December,2006,965845020,303010034,SAPP_Texas,Avon musk,4
6,February,2007,202482232,314247251,SAPP_Texas,Caps,2
6,February,2007,202851665,307135158,SAPP_Texas,Formal Mens trousers,4
6,February,2007,894395367,319318361,SAPP_Texas,Cargos,2
6,February,2007,931324108,311223231,SAPP_Texas,Shaving Gel,5
3,April,2007,586895081,312232236,SAPP_Texas,Thermal Wear,2
3,April,2007,572269075,313237246,SAPP_Texas,Formal Ladies trousers,3
3,April,2007,696851958,304035039,SAPP_Texas,Leather jacket,1
3,April,2007,244295971,301004007,SAPP_Texas,Formal Ladies Shirt,5
29,May,2007,198837146,300001003,SAPP_Texas,Hand Glove,3
29,May,2007,965845020,318303317,SAPP_Texas,Party wear trousers,1
24,July,2007,202482232,302008009,SAPP_Texas,Sun glasses,5
24,July,2007,198780235,310221222,SAPP_Texas,Formal Mens Shirts,1
24,July,2007,198782582,305040049,SAPP_Texas,Mens wear,2
24,July,2007,965823910,303010034,SAPP_Texas,Avon musk,4
18,September,2007,198837146,314247251,SAPP_Texas,Caps,3
18,September,2007,965845020,307135158,SAPP_Texas,Formal Mens trousers,1
13,November,2007,202482232,319318361,SAPP_Texas,Cargos,5
13,November,2007,202851665,311223231,SAPP_Texas,Shaving Gel,2
13,November,2007,198780235,312232236,SAPP_Texas,Thermal Wear,5
8,January,2008,198782582,313237246,SAPP_Texas,Formal Ladies trousers,5
8,January,2008,965823910,306050134,SAPP_Texas,Kids Wear,3
8,January,2008,198837146,304035039,SAPP_Texas,Leather jacket,3
4,March,2008,965845020,301004007,SAPP_Texas,Formal Ladies Shirt,1
4,March,2008,202482232,300001003,SAPP_Texas,Hand Glove,2
29,April,2008,198780235,318303317,SAPP_Texas,Party wear trousers,1
29,April,2008,198782582,302008009,SAPP_Texas,Sun glasses,5
29,April,2008,965823910,310221222,SAPP_Texas,Formal Mens Shirts,2
29,April,2008,198837146,305040049,SAPP_Texas,Mens wear,3
24,June,2008,965845020,303010034,SAPP_Texas,Avon musk,2
24,June,2008,202482232,314247251,SAPP_Texas,Caps,5
19,August,2008,202851665,307135158,SAPP_Texas,Formal Mens trousers,2
19,August,2008,894395367,319318361,SAPP_Texas,Cargos,4
19,August,2008,931324108,311223231,SAPP_Texas,Shaving Gel,3
14,October,2008,198780235,312232236,SAPP_Texas,Thermal Wear,2
14,October,2008,198782582,313237246,SAPP_Texas,Formal Ladies trousers,2
9,December,2008,965823910,306050134,SAPP_Texas,Kids Wear,1
9,December,2008,198837146,302008009,SAPP_Texas,Sun glasses,4
9,December,2008,965845020,309212220,SAPP_Texas,Ladies Jeans,6
3,February,2009,202482232,311223231,SAPP_Texas,Shaving Gel,2
3,February,2009,202851665,312232236,SAPP_Texas,Thermal Wear,4
31,March,2009,894395367,313237246,SAPP_Texas,Formal Ladies trousers,2
31,March,2009,931324108,306050134,SAPP_Texas,Kids Wear,6
